,행정구역,sig_cd,진짜 구급차 출동시간 표준화,기대수명 표준화,병원수 표준화,보건시설 표준화,구급차 표준화,의사수 표준화,지방소멸지수 표준화,지역별중증사망수치,정규화사망수치,emci
136,부산광역시 부산진구,26230,8.0,8.653846152,10.0,0.0,4.307692304,1.791044776,14.365226048,174.7,0.727514507,47.11780928
137,서울특별시 양천구,11470,8.0,15.038461536,3.5,0.0,3.692307696,0.875621888,16.3153584,93.0,0.925048356,47.421749520000006
138,경기도 파주시,41480,6.004659216,10.153846152,7.0,0.0,6.153846152,0.238805968,18.001162784,108.7,0.887088975,47.552320272
139,서울특별시 중랑구,11260,8.0,12.269230775999999,7.5,0.0,3.07692308,0.676616912,16.035272416,117.4,0.866054159,47.558043184
140,서울특별시 성북구,11290,8.0,15.461538456,3.0,0.0,2.461538464,0.835820896,18.182267328,120.4,0.858800774,47.941165143999996
141,경상북도 구미시,47190,4.373185832,9.65384616,3.0,0.0,5.538461536,0.398009952,25.026925984,95.39999999999999,0.489361702,47.990429464
142,대구광역시 북구,27230,7.996113168,9.153846144,11.0,0.0,4.307692304,0.63681592,15.391660192,122.3,0.854206963,48.486127728
143,경기도 군포시,41410,8.0,18.0,2.0,0.0,1.846153848,0.517412936,18.44228736,102.10000000000001,0.903046422,48.805854144
144,경기도 남양주시,41360,6.77096336,11.846153856,8.0,0.0,6.153846152,0.238805968,15.845867552,104.19999999999999,0.897969052,48.855636888
145,경기도 의정부시,41150,7.997907088,9.961538472,8.5,0.0,4.92307692,0.835820896,16.895929056,116.60000000000001,0.867988395,49.114272432
146,서울특별시 은평구,11380,8.0,15.115384608,5.5,0.0,3.692307696,0.676616912,16.448708384,126.0,0.845261122,49.4330176
147,서울특별시 구로구,11530,8.0,15.730769232,4.5,0.0,3.692307696,1.074626864,16.91175312,105.6,0.894584139,49.909456912
148,경상남도 김해시,48250,7.341530568,6.576923087999999,13.5,0.0,3.692307696,0.437810944,18.413347008,111.0,0.962282398,49.96191930399999
149,경기도 하남시,41450,7.575537864,14.57692308,3.0,0.0,1.846153848,0.31840796,22.647982336,82.6,0.950193424,49.965005088
150,경기도 평택시,41220,7.685864136,9.0,7.0,0.0,3.07692308,0.358208952,22.954933536,130.6,0.834139265,50.075929703999996
151,서울특별시 중구,11140,8.0,17.192307696,2.0,0.0,1.846153848,3.661691544,17.750882368,172.70000000000002,0.732350097,50.451035456
152,울산광역시 남구,31140,8.0,7.461538464,11.0,0.0,4.92307692,1.034825872,18.083069984,129.1,0.837765957,50.502511240000004
153,경기도 오산시,41370,8.0,9.076923072,4.5,0.0,1.846153848,0.398009952,26.831063328,112.30000000000001,0.878384913,50.652150199999994
154,전라남도 순천시,46150,6.450947416,11.076923088,11.5,0.0,7.384615384,0.716417912,13.881156544,155.29999999999998,0.929883946,51.010060343999996
155,서울특별시 성동구,11200,8.0,17.269230768,2.5,0.0,1.230769232,1.034825872,21.428446528,95.7,0.918520309,51.463272399999994
156,인천광역시 연수구,28185,7.637826864,13.307692295999999,2.5,0.0,1.846153848,0.358208952,26.05727936,88.5,0.935928433,51.70716132
157,인천광역시 서구,28260,7.997109792,9.384615384,7.0,0.0,1.230769232,0.437810944,26.017800768,82.0,0.951644101,52.068106119999996
158,서울특별시 용산구,11170,8.0,18.42307692,1.0,0.0,2.461538464,1.034825872,21.275173952,121.8,0.855415861,52.194615208
159,경기도 시흥시,41390,8.0,9.461538456,4.0,0.0,3.692307696,0.278606968,27.36948096,90.10000000000001,0.932059961,52.801934079999995
160,서울특별시 동대문구,11230,8.0,13.961538456,8.0,0.0,3.07692308,1.751243784,18.507859232,132.9,0.828578337,53.297564552000004
161,서울특별시 서대문구,11410,8.0,17.653846152,3.0,0.0,3.07692308,2.348258704,19.848316192,126.69999999999999,0.843568665,53.927344128
162,서울특별시 동작구,11590,8.0,19.153846152,3.0,0.0,2.461538464,1.114427864,21.078353984,97.60000000000001,0.913926499,54.808166463999996
163,경기도 김포시,41570,6.319592384,14.923076928,8.5,0.0,5.538461536,0.398009952,19.840964896,65.7,0.991054159,55.520105696
164,서울특별시 종로구,11110,8.0,16.999999992,2.5,0.0,3.07692308,8.0,17.062067072,173.0,0.731624758,55.638990144000005
