시군구명,시군구코드,,순환계통 사망자 수,순환계통 10만명당 사망률,순환계통 연령 표준화 사망률(10만명당),운수사고 사망자 수,운수사고 10만명당 사망률,운수사고 연령 표준화 사망률(10만명당),낙상 사망자수  ,낙상 10만명당 사망률,낙상 연령 표준화 사망률(10만명당),,,,,,,,
충청남도 예산군,44810,,189,245.4,49.4,23,29.9,17.3,15,19.5,5.9,,,,,,,,
충청남도 천안시 동남구,44131,,285,111.7,53.4,21,8.2,7.1,20,7.8,4.3,,,,,,,,
충청남도 천안시 서북구,44133,,254,63.5,49.3,23,5.7,5.2,16,4,3.1,,,,,,,,
충청남도 청양군,44790,,100,327.2,51.8,12,39.3,26.9,2,6.5,1.4,,,,,,,,
충청남도 태안군,44825,,101,164.2,37.4,15,24.4,18.5,2,3.3,1.7,,,,,,,,
충청남도 홍성군,44800,,162,163.3,47.6,12,12.1,10.6,10,10.1,4.1,,,,,,,,
충청북도 괴산군,43760,,98,254.3,58,9,23.4,15.4,3,7.8,2.2,,,,,,,,
충청북도 단양군,43800,,79,276.8,52.5,4,14,7.4,7,24.5,4.8,,,,,,,,
충청북도 보은군,43720,,108,338.2,56.9,4,12.5,3.7,8,25.1,6.8,,,,,,,,
충청북도 영동군,43740,,138,297.5,60.5,8,17.2,5.6,5,10.8,2.7,,,,,,,,
충청북도 옥천군,43730,,106,211.8,45.5,8,16,13,5,10,2.9,,,,,,,,
충청북도 음성군,43770,,148,160.8,54.6,11,12,9.6,7,7.6,2.9,,,,,,,,
충청북도 제천시,43150,,265,201.4,70.5,20,15.2,11.9,14,10.6,4.7,,,,,,,,
충청북도 증평군,43745,,47,128.9,47.4,7,19.2,7.6,4,11,3.1,,,,,,,,
충청북도 진천군,43750,,111,132,53.5,14,16.6,10.8,5,5.9,2.4,,,,,,,,
충청북도 청주시 상당구,43111,,224,117.3,55.6,13,6.8,4.3,15,7.9,3.8,,,,,,,,
충청북도 청주시 흥덕구,43113,,177,66.7,41,12,4.5,3.3,7,2.6,1.8,,,,,,,,
충청북도 충주시,43130,,302,144.7,49.9,19,9.1,4.6,20,9.6,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
